district,state,population,area_km2
Saharanpur,Uttar Pradesh,3466382,3860.00
Gorakhpur,Uttar Pradesh,4436275,3325.00
Gautam Buddha Nagar,Uttar Pradesh,1648115,1269.00
Kolkata,West Bengal,4496694,185.00
North 24 Parganas,West Bengal,10009781,4094.00
South 24 Parganas,West Bengal,8161961,9960.00
Howrah,West Bengal,4850029,1467.00
Hooghly,West Bengal,5519145,3149.00
Bardhaman,West Bengal,7723663,7024.00
Murshidabad,West Bengal,7103807,5341.00
Medinipur West,West Bengal,5913457,9295.00
Medinipur East,West Bengal,5094238,4736.00
Nadia,West Bengal,5168488,3927.00
Malda,West Bengal,3997970,3733.00
Hyderabad,Telangana,3943323,217.00
Rangareddy,Telangana,5296396,7493.00
Medak,Telangana,3031877,9699.00
Nizamabad,Telangana,2551335,7956.00
Karimnagar,Telangana,3811738,11823.00
Warangal,Telangana,3514754,12846.00
Khammam,Telangana,2797055,16029.00
Nalgonda,Telangana,3489350,14240.00
Mahbubnagar,Telangana,4053028,18432.00
Adilabad,Telangana,2737738,16105.00
Visakhapatnam,Andhra Pradesh,4288234,11161.00
Vijayawada,Andhra Pradesh,4200000,3926.00
Guntur,Andhra Pradesh,4889230,11391.00
Krishna,Andhra Pradesh,4517398,8727.00
East Godavari,Andhra Pradesh,5314717,10807.00
West Godavari,Andhra Pradesh,3934782,7742.00
Kurnool,Andhra Pradesh,4046601,17658.00
Anantapur,Andhra Pradesh,4083315,19130.00
Chittoor,Andhra Pradesh,4170468,15152.00
Cuddapah,Andhra Pradesh,2884524,15359.00
Srikakulam,Andhra Pradesh,2699471,5837.00
Vizianagaram,Andhra Pradesh,2344474,6539.00
Nellore,Andhra Pradesh,2963557,13076.00
Jaipur,Rajasthan,6626178,11143.00
Jodhpur,Rajasthan,3685681,22850.00
Kota,Rajasthan,1950491,5446.00
Udaipur,Rajasthan,3068420,13419.00
Ajmer,Rajasthan,2584913,8481.00
Bikaner,Rajasthan,2367745,27244.00
Alwar,Rajasthan,3671999,8380.00
Barmer,Rajasthan,2604453,28387.00
Nagaur,Rajasthan,3307743,17718.00
Sikar,Rajasthan,2677333,7732.00
Bhilwara,Rajasthan,2408523,10455.00
Sirohi,Rajasthan,1036346,5136.00
Pali,Rajasthan,2037573,12387.00
Chittorgarh,Rajasthan,1544338,10856.00
Ahmedabad,Gujarat,7214225,8707.00
Surat,Gujarat,6081322,7657.00
Vadodara,Gujarat,4157568,7794.00
Rajkot,Gujarat,3804558,11203.00
Gandhinagar,Gujarat,1391753,2163.00
Bharuch,Gujarat,1551026,6524.00
Anand,Gujarat,2090276,2942.00
Mehsana,Gujarat,2027727,4386.00
Kheda,Gujarat,2298934,4215.00
Bhavnagar,Gujarat,2877961,9979.00
Junagadh,Gujarat,2743082,8839.00
Amreli,Gujarat,1514190,6760.00
Bhopal,Madhya Pradesh,2371061,2772.00
Indore,Madhya Pradesh,3276697,3898.00
Gwalior,Madhya Pradesh,2032036,4560.00
Jabalpur,Madhya Pradesh,2463289,5211.00
Ujjain,Madhya Pradesh,1986864,6091.00
Sagar,Madhya Pradesh,2378458,10252.00
Rewa,Madhya Pradesh,2365106,6314.00
Satna,Madhya Pradesh,2228935,7502.00
Raipur,Chhattisgarh,4063872,13083.00
Durg,Chhattisgarh,3343872,8702.00
Bilaspur,Chhattisgarh,2663629,8272.00
Rajnandgaon,Chhattisgarh,1535798,8013.00
Korba,Chhattisgarh,1205474,7145.00
Patna,Bihar,5838465,3202.00
Gaya,Bihar,4391418,4976.00
Muzaffarpur,Bihar,4778610,3173.00
Bhagalpur,Bihar,3032226,2569.00
Nalanda,Bihar,2877653,2354.00
Darbhanga,Bihar,3937385,2279.00
Saran,Bihar,3951845,2641.00
Vaishali,Bihar,3495021,2036.00
Munger,Bihar,1359054,1419.00
Begusarai,Bihar,2970541,1918.00
Purnia,Bihar,3264619,3229.00
Ranchi,Jharkhand,2914253,5097.00
East Singhbhum,Jharkhand,2291032,3562.00
Bokaro,Jharkhand,2062330,2861.00
Dhanbad,Jharkhand,2684487,2052.00
Hazaribagh,Jharkhand,1734495,4302.00
Deoghar,Jharkhand,1492073,2478.00
Dumka,Jharkhand,1321442,3761.00
Chandigarh,Chandigarh,1055450,114.00
Amritsar,Punjab,2490656,5082.00
Ludhiana,Punjab,3498739,3767.00
Jalandhar,Punjab,2193590,2632.00
Patiala,Punjab,1895686,3218.00
Gurdaspur,Punjab,2299026,3560.00
Hoshiarpur,Punjab,1582793,3365.00
Sangrur,Punjab,1655169,3639.00
Bathinda,Punjab,1388859,3385.00
Faridkot,Punjab,617508,1470.00
Moga,Punjab,992289,2240.00
Fazilka,Punjab,1182026,3207.00
Gurugram,Haryana,1514085,1253.00
Faridabad,Haryana,1809733,742.00
Hisar,Haryana,1743931,3983.00
Ambala,Haryana,1128350,1574.00
Rohtak,Haryana,1058683,1745.00
Karnal,Haryana,1505324,2520.00
Sonipat,Haryana,1450001,2260.00
Panipat,Haryana,1202811,1268.00
Yamunanagar,Haryana,1214162,1756.00
Bhiwani,Haryana,1634445,4778.00
Shimla,Himachal Pradesh,813384,5131.00
Kangra,Himachal Pradesh,1510075,5739.00
Mandi,Himachal Pradesh,999518,3950.00
Solan,Himachal Pradesh,580320,1936.00
Kullu,Himachal Pradesh,437903,5503.00
Dehradun,Uttarakhand,1696694,3088.00
Haridwar,Uttarakhand,1890422,2360.00
Nainital,Uttarakhand,954605,4251.00
Udham Singh Nagar,Uttarakhand,1648902,2542.00
Srinagar,Jammu & Kashmir,1236829,2228.00
Jammu,Jammu & Kashmir,1529958,3097.00
Anantnag,Jammu & Kashmir,1078692,3984.00
Baramulla,Jammu & Kashmir,1015503,4588.00
Bhubaneswar,Odisha,1100000,135.00
Khordha,Odisha,2246341,2813.00
Ganjam,Odisha,3520151,8206.00
Cuttack,Odisha,2620531,3932.00
Sundargarh,Odisha,2093437,9712.00
Sambalpur,Odisha,1044410,6702.00
Balasore,Odisha,2317419,3806.00
Mayurbhanj,Odisha,2513895,10418.00
Koraput,Odisha,1376934,8807.00
Keonjhar,Odisha,1802777,8303.00
Ernakulam,Kerala,3282388,3068.00
Thiruvananthapuram,Kerala,3301427,2192.00
Kozhikode,Kerala,3086293,2345.00
Thrissur,Kerala,3121200,3032.00
Malappuram,Kerala,4110956,3550.00
Kollam,Kerala,2635375,2491.00
Kannur,Kerala,2525637,2966.00
Palakkad,Kerala,2809934,4480.00
Alappuzha,Kerala,2127789,1414.00
Kottayam,Kerala,1974551,2208.00
Assam,Kamrup Metropolitan,1260419,1528.00
Dibrugarh,Assam,1326335,3381.00
Nagaon,Assam,2823768,3831.00
Sonitpur,Assam,1924110,5324.00
Cachar,Assam,1736617,3786.00
Guwahati,Assam,963429,328.00
